,Song Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instramentalness,Liveness,Valence,Tempo,Type,ID,URI,Track Href,Analysis URL,Duration (ms),Time Signature
0,Pretender,0.538,0.869,8,-3.464,1,0.0275,0.047,0.0,0.14,0.369,91.972,audio_features,49h5Aav6yn1o1ACGyovDdZ,spotify:track:49h5Aav6yn1o1ACGyovDdZ,https://api.spotify.com/v1/tracks/49h5Aav6yn1o1ACGyovDdZ,https://api.spotify.com/v1/audio-analysis/49h5Aav6yn1o1ACGyovDdZ,326843,4
1,Hakujitsu,0.606,0.901,1,-2.552,1,0.11,0.67,0.0,0.289,0.748,93.012,audio_features,0mNO3xUzjsI17GXO1DRFCH,spotify:track:0mNO3xUzjsI17GXO1DRFCH,https://api.spotify.com/v1/tracks/0mNO3xUzjsI17GXO1DRFCH,https://api.spotify.com/v1/audio-analysis/0mNO3xUzjsI17GXO1DRFCH,274913,4
2,Shukumei,0.547,0.577,5,-6.087,1,0.0336,0.0152,0.0,0.109,0.494,164.032,audio_features,2K74OeuU2y0RN746g9EizC,spotify:track:2K74OeuU2y0RN746g9EizC,https://api.spotify.com/v1/tracks/2K74OeuU2y0RN746g9EizC,https://api.spotify.com/v1/audio-analysis/2K74OeuU2y0RN746g9EizC,280856,4
3,Teenager Forever,0.498,0.92,0,-3.546,1,0.109,0.0676,0.0,0.342,0.702,114.901,audio_features,0IrfTmWz97ZoKbBICyslv9,spotify:track:0IrfTmWz97ZoKbBICyslv9,https://api.spotify.com/v1/tracks/0IrfTmWz97ZoKbBICyslv9,https://api.spotify.com/v1/audio-analysis/0IrfTmWz97ZoKbBICyslv9,189080,4
4,Machigaisagashi,0.534,0.642,2,-5.568,1,0.0372,0.52,0.0,0.39,0.443,155.916,audio_features,4Jj31lihp5Nvdi4lFRjrqc,spotify:track:4Jj31lihp5Nvdi4lFRjrqc,https://api.spotify.com/v1/tracks/4Jj31lihp5Nvdi4lFRjrqc,https://api.spotify.com/v1/audio-analysis/4Jj31lihp5Nvdi4lFRjrqc,223640,4
5,Yesterday,0.541,0.8,6,-3.687,1,0.0382,0.0442,0.0,0.398,0.56,129.939,audio_features,43MGiVpukiSOnm7RdltAtZ,spotify:track:43MGiVpukiSOnm7RdltAtZ,https://api.spotify.com/v1/tracks/43MGiVpukiSOnm7RdltAtZ,https://api.spotify.com/v1/audio-analysis/43MGiVpukiSOnm7RdltAtZ,299164,4
6,ノーダウト,0.574,0.936,2,-3.185,1,0.07,0.0585,0.0,0.336,0.793,149.953,audio_features,5DMEvbg3gUmiR5HIBWdveV,spotify:track:5DMEvbg3gUmiR5HIBWdveV,https://api.spotify.com/v1/tracks/5DMEvbg3gUmiR5HIBWdveV,https://api.spotify.com/v1/audio-analysis/5DMEvbg3gUmiR5HIBWdveV,202395,4
7,115万キロのフィルム,0.514,0.791,3,-1.927,1,0.0318,0.00345,0.0,0.141,0.482,96.966,audio_features,278JqkBGkjDovOYAwE8TW7,spotify:track:278JqkBGkjDovOYAwE8TW7,https://api.spotify.com/v1/tracks/278JqkBGkjDovOYAwE8TW7,https://api.spotify.com/v1/audio-analysis/278JqkBGkjDovOYAwE8TW7,324633,4
8,マリーゴールド,0.545,0.745,2,-3.098,1,0.0286,0.0452,0.0,0.0907,0.413,106.094,audio_features,0jWVUKsIoyo3zw64RaEWYg,spotify:track:0jWVUKsIoyo3zw64RaEWYg,https://api.spotify.com/v1/tracks/0jWVUKsIoyo3zw64RaEWYg,https://api.spotify.com/v1/audio-analysis/0jWVUKsIoyo3zw64RaEWYg,306627,4
9,Umbrella,0.649,0.903,10,-2.661,1,0.0764,0.38,0.0,0.0485,0.698,105.022,audio_features,1NkiR42rILTQYYEGs7izYv,spotify:track:1NkiR42rILTQYYEGs7izYv,https://api.spotify.com/v1/tracks/1NkiR42rILTQYYEGs7izYv,https://api.spotify.com/v1/audio-analysis/1NkiR42rILTQYYEGs7izYv,202286,4
10,Gurenge,0.545,0.979,4,-2.8,0,0.153,0.00339,0.000118,0.0775,0.309,135.002,audio_features,23DbzwNJSLo7nkSWjODMvY,spotify:track:23DbzwNJSLo7nkSWjODMvY,https://api.spotify.com/v1/tracks/23DbzwNJSLo7nkSWjODMvY,https://api.spotify.com/v1/audio-analysis/23DbzwNJSLo7nkSWjODMvY,238587,4
11,Hikoutei,0.471,0.852,1,-3.391,1,0.0462,0.0408,0.0,0.329,0.491,79.931,audio_features,68KMKHen3fHDgD8z1aBWCK,spotify:track:68KMKHen3fHDgD8z1aBWCK,https://api.spotify.com/v1/tracks/68KMKHen3fHDgD8z1aBWCK,https://api.spotify.com/v1/audio-analysis/68KMKHen3fHDgD8z1aBWCK,261910,4
12,Sayonara Elegy,0.466,0.934,1,-2.739,1,0.0539,0.00333,0.0,0.277,0.62,154.966,audio_features,0QKmcZNAST4GytJYmkN05D,spotify:track:0QKmcZNAST4GytJYmkN05D,https://api.spotify.com/v1/tracks/0QKmcZNAST4GytJYmkN05D,https://api.spotify.com/v1/audio-analysis/0QKmcZNAST4GytJYmkN05D,257067,4
13,高嶺の花子さん,0.54,0.923,9,-2.838,1,0.0623,0.066,0.0,0.124,0.343,137.977,audio_features,2jdbZGFp8KVTuk0YxDNL4l,spotify:track:2jdbZGFp8KVTuk0YxDNL4l,https://api.spotify.com/v1/tracks/2jdbZGFp8KVTuk0YxDNL4l,https://api.spotify.com/v1/audio-analysis/2jdbZGFp8KVTuk0YxDNL4l,294813,4
14,Stand By You,0.609,0.869,1,-5.129,1,0.0422,0.00864,0.0,0.283,0.626,154.024,audio_features,6SzML1m0wK3edW6RbH3oxT,spotify:track:6SzML1m0wK3edW6RbH3oxT,https://api.spotify.com/v1/tracks/6SzML1m0wK3edW6RbH3oxT,https://api.spotify.com/v1/audio-analysis/6SzML1m0wK3edW6RbH3oxT,256132,4
